"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Smoking TOO MUCH can cause a lot of health issues also. Fuck around and think you have the flu or stomach virus whe… https://t.co/GGPtTjP1QH",FALSE,0,NA,2019-03-02 16:47:38,TRUE,NA,"1101886792607899651",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PureeThickness",0,FALSE,FALSE,NA,NA
"2","@vijayrupanibjp Sir please respond our last post societies road works stop last 3 months.. May be dangerous dangue… https://t.co/yUNfk0NOCk",FALSE,0,"vijayrupanibjp",2019-03-02 16:47:36,TRUE,"1101523357823045632","1101886787104985090","627355202","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnkurMo02473850",0,FALSE,FALSE,NA,NA
"3","RT @TheVampsBrad: Had flu for the past week and I’m about two breaking bads away from completing Netflix.",FALSE,0,NA,2019-03-02 16:47:32,FALSE,NA,"1101886768645840896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sophh17xo",815,TRUE,FALSE,NA,NA
"4","RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,2019-03-02 16:47:22,FALSE,NA,"1101886728061759489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fwbarbie_",8243,TRUE,FALSE,NA,NA
"5","@AroundThe412 Jordan Played with the Flu",FALSE,0,"AroundThe412",2019-03-02 16:47:22,FALSE,"1101885974181601280","1101886727650717702","881742273620439040","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ryan2434",0,FALSE,FALSE,NA,NA
"6","RT @FiersaBesari: “Berboncengan denganmu, mengelilingi kota, menikmati surya perlahan menghilang. Hingga, kejamnya waktu menarik paksa aku…",FALSE,0,NA,2019-03-02 16:47:22,FALSE,NA,"1101886727646400513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stamelia_11",2557,TRUE,FALSE,NA,NA
"7","RT @greenhousemd: Sick Visit for a kid with flu A today. No #fluvaccine.
Mom: He's got fever and cough and feels like he can't move. I didn…",FALSE,0,NA,2019-03-02 16:47:09,FALSE,NA,"1101886673183399937",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BinaryTreez",64,TRUE,FALSE,NA,NA
"8","RT @NYTScience: Research that can make flu viruses more dangerous was put on hold by the government in 2014. Now, the government has decide…",FALSE,0,NA,2019-03-02 16:47:05,FALSE,NA,"1101886657631010818",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JorgePalapa1",5,TRUE,FALSE,NA,NA
"9","Definition of mixed emotions is canceling all the plans you didn’t want to do this weekend, but doing it because on… https://t.co/5sCwjlqDpG",FALSE,1,NA,2019-03-02 16:46:57,TRUE,NA,"1101886624248545281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","J_Dot_J",0,FALSE,FALSE,NA,NA
"10","2 days now I’ve had the onset of strep throat and a flu, I’m miserable and haven’t slept. My braces hurt, my face h… https://t.co/8ZNrEpVbgh",FALSE,0,NA,2019-03-02 16:46:57,TRUE,NA,"1101886621597626368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chinupfearsdown",0,FALSE,FALSE,NA,NA
"11","RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,2019-03-02 16:46:45,FALSE,NA,"1101886574000787457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taylordane__",8243,TRUE,FALSE,NA,NA
"12","flu vibes",FALSE,0,NA,2019-03-02 16:46:38,FALSE,NA,"1101886541159378944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heartfeltenergy",0,FALSE,FALSE,NA,NA
"13","RT @CHCTexas: It's not too late to get your #flushot, and with a more severe #flu strain spreading, now is the time to make it a priority.…",FALSE,0,NA,2019-03-02 16:46:33,FALSE,NA,"1101886522821918720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HealthyTexans",1,TRUE,FALSE,NA,NA
"14","@traciavalos So sorry you are sick - boo hiss - not fair. Please take care of yourself-my mom-in-law is in the hosp… https://t.co/gWOLiiyIuF",FALSE,1,"traciavalos",2019-03-02 16:46:28,TRUE,"1101873325758795777","1101886499510018049","15679178","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Texastine",0,FALSE,FALSE,NA,NA
"15","Its-A Me, Steckperlen-Mario!⭐️🍄🍂 #SuperMario #NES https://t.co/Ohx5gUMdg3",FALSE,0,NA,2019-03-02 16:46:21,FALSE,NA,"1101886473433989122",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__FLU__",0,FALSE,FALSE,NA,NA
"16","RT @O_Rich_: I am not able to attend today’s #GiletsJaunes protest as I have the flu, but I will be keeping an eye on it. However, I will o…",FALSE,0,NA,2019-03-02 16:46:20,FALSE,NA,"1101886468920958977",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JohnMac40905019",4,TRUE,FALSE,NA,NA
"17","@jaydestro Sad thing is that I no longer have the flu. I’m now dealing with a secondary lung infection. 😭",FALSE,0,"jaydestro",2019-03-02 16:46:14,FALSE,"1101886192499523584","1101886441783808004","15664858","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Microwavables",0,FALSE,FALSE,NA,NA
"18","Hhhhhh.  So they just not ok

Its as u hung out with me and ill have flu. '

But its from in",FALSE,0,NA,2019-03-02 16:46:11,FALSE,NA,"1101886429708406786",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","m90226575",0,FALSE,FALSE,NA,NA
"19","@OmBruBANS @46_Fadilah Keto flu emang ga enak sih menurut testimoni macem-macem orang. Mending coba diet lain hahaha",FALSE,1,"OmBruBANS",2019-03-02 16:46:01,FALSE,"1101882207163973632","1101886387735879681","2912464614","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","edrickojn",0,FALSE,FALSE,NA,NA
"20","RT @GrProject43X: I saw a lady at the bar.alone, older, attractive. I thought maybe I ought to start a conversation with her, you know, see…",FALSE,0,NA,2019-03-02 16:46:01,FALSE,NA,"1101886385466662912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SlapDashSat",0,TRUE,FALSE,NA,NA
"21","RT @NYTScience: Research that can make flu viruses more dangerous was put on hold by the government in 2014. Now, the government has decide…",FALSE,0,NA,2019-03-02 16:45:56,FALSE,NA,"1101886365824942080",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Leila1H",5,TRUE,FALSE,NA,NA
"22","RT @TheVampsBrad: Had flu for the past week and I’m about two breaking bads away from completing Netflix.",FALSE,0,NA,2019-03-02 16:45:55,FALSE,NA,"1101886363136348162",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ingridlourenzo",815,TRUE,FALSE,NA,NA
"23","RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,2019-03-02 16:45:51,FALSE,NA,"1101886346656911366",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theyluvluu",8243,TRUE,FALSE,NA,NA
"24","@ShHussnain5056 Sachi effective ha flu cough liye khud pi chuki hn 😋",FALSE,0,"ShHussnain5056",2019-03-02 16:45:48,FALSE,"1101886017320222725","1101886332182380544","912914562265042946","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MsCheema_",0,FALSE,FALSE,NA,NA
"25","@JaneDoe42837258 @ay_lenaa @baris78coskun @maviii05 @EhLikeyF1903__ @ATATRKYEMM2 @hersey_flu @kainatanot… https://t.co/Oxd734RE8Q",FALSE,0,"JaneDoe42837258",2019-03-02 16:45:44,TRUE,"1101872778247065600","1101886318009896961","954633290006265856","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arse_1881",0,FALSE,FALSE,NA,NA
"26","RT @TheVampsBrad: Had flu for the past week and I’m about two breaking bads away from completing Netflix.",FALSE,0,NA,2019-03-02 16:45:43,FALSE,NA,"1101886313278525442",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","monsoon_0913",815,TRUE,FALSE,NA,NA
"27","RT @NYTScience: Research that can make flu viruses more dangerous was put on hold by the government in 2014. Now, the government has decide…",FALSE,0,NA,2019-03-02 16:45:38,FALSE,NA,"1101886291204022272",NA,"<a href=""https://www.seiberlich-ka.de/photo"" rel=""nofollow"">DontRetweet_nytscience</a>","dore_nytscience",5,TRUE,FALSE,NA,NA
"28","RT @HarmonyMindBody: Meditation Music For Relief Of Sinus Congestion &amp; Head Cold
Powerful Delta Brainwaves Music Therapy

#Brainwaves #sinu…",FALSE,0,NA,2019-03-02 16:45:32,FALSE,NA,"1101886267317538818",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HarmonyMindBody",32,TRUE,FALSE,NA,NA
"29","RT @NYTScience: Research that can make flu viruses more dangerous was put on hold by the government in 2014. Now, the government has decide…",FALSE,0,NA,2019-03-02 16:45:26,FALSE,NA,"1101886238674554880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Marianhouk",5,TRUE,FALSE,NA,NA
